Namespace(arch='vgg16_bn', baseline=True, batch_size=128, checkpoint=None, data='../data', dataset='cifar10', decreasing_lr='50,100,150', epochs=180, gpu=0, imagenet_arch=False, input_size=32, lr=0.1, momentum=0.9, print_freq=50, prune_type='lt', pruning_times=16, random_prune=False, rate=0.8, resume=False, rewind_epoch=3, save_dir='./runs/vgg16_cifar10_r80_seed1', seed=1, warmup=0, weight_decay=0.0001, workers=4)
setup random seed = 1
Dataset information: CIFAR-10	 45000 images for training 	 500 images for validation	
10000 images for testing	 no normalize applied in data_transform
Data augmentation = randomcrop(32,4) + randomhorizontalflip
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
The normalize layer is contained in the network
Sparse model created !
* remain weight ratio =  20.000001359576423 %
######################################## Start Standard Training ########################################
Running Baseline : True
Epoch = 55 	||	 Train = 97.596 % 	||	 Val = 91.900 % 	||	 Test = 91.170 %
Epoch = 56 	||	 Train = 97.631 % 	||	 Val = 91.880 % 	||	 Test = 91.300 %
Epoch = 57 	||	 Train = 97.742 % 	||	 Val = 92.160 % 	||	 Test = 91.390 %
Epoch = 58 	||	 Train = 97.822 % 	||	 Val = 92.140 % 	||	 Test = 91.420 %
Epoch = 59 	||	 Train = 98.007 % 	||	 Val = 91.980 % 	||	 Test = 91.500 %
Epoch = 60 	||	 Train = 97.858 % 	||	 Val = 92.340 % 	||	 Test = 91.550 %
Epoch = 61 	||	 Train = 98.093 % 	||	 Val = 92.300 % 	||	 Test = 91.670 %
Epoch = 62 	||	 Train = 97.991 % 	||	 Val = 92.240 % 	||	 Test = 91.640 %
Epoch = 63 	||	 Train = 98.240 % 	||	 Val = 92.140 % 	||	 Test = 91.720 %
Epoch = 64 	||	 Train = 98.160 % 	||	 Val = 92.340 % 	||	 Test = 91.620 %
Epoch = 65 	||	 Train = 98.158 % 	||	 Val = 92.400 % 	||	 Test = 91.680 %
Epoch = 66 	||	 Train = 98.300 % 	||	 Val = 92.360 % 	||	 Test = 91.850 %
Epoch = 67 	||	 Train = 98.327 % 	||	 Val = 92.220 % 	||	 Test = 91.800 %
Epoch = 68 	||	 Train = 98.373 % 	||	 Val = 92.240 % 	||	 Test = 91.890 %
Epoch = 69 	||	 Train = 98.356 % 	||	 Val = 92.300 % 	||	 Test = 91.830 %
Epoch = 70 	||	 Train = 98.458 % 	||	 Val = 92.500 % 	||	 Test = 91.770 %
Epoch = 71 	||	 Train = 98.438 % 	||	 Val = 92.520 % 	||	 Test = 91.800 %
Epoch = 72 	||	 Train = 98.482 % 	||	 Val = 92.340 % 	||	 Test = 91.940 %
Epoch = 73 	||	 Train = 98.500 % 	||	 Val = 92.480 % 	||	 Test = 91.850 %
Epoch = 74 	||	 Train = 98.578 % 	||	 Val = 92.500 % 	||	 Test = 91.820 %
Epoch = 75 	||	 Train = 98.578 % 	||	 Val = 92.540 % 	||	 Test = 91.820 %
Epoch = 76 	||	 Train = 98.582 % 	||	 Val = 92.400 % 	||	 Test = 91.960 %
